Name	CoL ID	E_Rj (J/cm^3)	F_m (l/d.cm^2)	kap_X (-)	s_G (-)	h_a (1/d^2)	kap_P (-)	kap_R (-)	kap_V (-)	p_M (J/d.cm^3)	k_E (1/d)	E_G (J/cm^3)	p_T (J/d.cm^2)	s_j (-)	t_sj (d)	E_Hj (J)	E_He (J)	E_Hb (J)	k_J (1/d)	E_Hx (J)	E_Hp (J)	E_Hs (J)	p_Am (J/d.cm^2)	kap (-)	v (cm/d)	t_0 (d)
Calidris alpina	3573e87083ded2fb1ffc96183f7def79		6.5	0.8	0.01	8.736e-24	0.1	0.95		439.071		7326.51	0.0					5167.0	0.002		361200.0		1238.72	0.89149	0.096193	
Calidris bairdii	b332bce93951f2c8b34f237074c8b5bc		6.5	0.8	0.01	9.234e-36	0.1	0.95		1011.51		7319.29	0.0					1852.0	0.002		377700.0		2475.89	0.93557	0.171	
Calidris ferruginea	9b0c2d95deffed6fa89cdb208c187026		6.5	0.8	0.01	6.614e-29	0.1	0.95		487.264		7320.09	0.0					3901.0	0.002		705500.0		1763.58	0.92229	0.26612	
Calidris maritima	a35342e9335b7725fa58bc1da7787203		6.5	0.8	0.1	3.44e-86	0.1	0.95		803.252		7314.22	0.0					6574.0	0.002		1322000.0		2438.76	0.8143	0.076269	
Calidris minuta	9690a93b47b604e28ac765c2345ba29c		6.5	0.8	0.01	7.159e-28	0.1	0.95		1939.19		7327.26	0.0					1355.0	0.002		385400.0		3862.84	0.93304	0.19456	
Calidris minutilla	81a637f1ff6e3f1fda7a976824ba5adc		6.5	0.8	0.01	8.354e-20	0.1	0.95		1499.92		7322.25	0.0					156.5	0.002		7142.0		2466.12	0.98992	0.078793	
Callianira antarctica	303f7a8417f250f9b9d1cbc77fc060cf		18.73	0.8	0.0001	1e-06	0.1	0.475		8.80963		263.639	0.0			0.0289573		2.37994e-07	0.002		3277.68		1.12386	0.56161	0.0233171	
Callithrix jacchus	62c40d93ae8fa0246b8a98d2e750ecd6		6.5	0.8	0.05	5.98064e-27	0.1	0.95		53.4187		7857.36	0.0					73158.6	0.002	361819.0	2290390.0		476.631	0.677492	0.150737	130.691
Callithrix pygmaea	e1f4feeca0820dced99b7266294fff98		6.5	0.8	0.05	2.0296e-28	0.1	0.95		49.0685		7824.77	0.0					91369.6	0.002	622056.0	2435820.0		480.048	0.490877	0.17219	114.636
Callorhinchus capensis	2b8e437a12e0cc1b19683fd7de7c7206		6.5	0.8	0.0001	7.79e-08	0.1	0.95		44.13		5232.0	0.0					2895.0	0.002		530600.0		609.215	0.8975	0.08054	
Callorhinus ursinus	4a75190e7f56b556cca2e56212dc703f		6.5	0.8	0.1	2.447e-12	0.1	0.95		9.565		7868.0	0.0					6101000.0	0.002	7886000.0	39190000.0		418.241	0.526	0.02663	0.0
Camerasaurus spec	e91d23682d9e6ef031ecc9e41fd28be9		6.5	0.8	0.5	2.068e-16	0.1	0.95		17.9		7845.0	0.0					1304000.0	0.002		1534000000.0		2223.22	0.7867	0.01973	
Canis lupus	bcd6035778291a7feaad52cb7ac167cb		6.5	0.8	0.1	4.72e-20	0.1	0.95		128.67		7837.59	0.0					196000.0	0.002	4034000.0	108900000.0		3297.81	0.856	0.15947	43.7058
Capitella teleta	fd9aa8aa73aaf17bae632c52a561664d		6.5	0.8	0.0001	5.308e-07	0.1	0.95		410.0		4160.0	0.0					0.06636	0.002		273.7		410.142	0.8638	0.25	
Carapus bermudensis	2dd6e3f10c0d08bcb17089579df4c5d0		6.5	0.8	0.0001	2.23478e-09	0.1	0.95		17.9637	0.05	5230.24	0.0		20.3			0.00129682	0.00285844		11186.1	288.8	49.6319	0.800615	0.0288329	
Carcharhinus leucas	08712ee451c6216fdc23bf2ed1b8eb24		6.5	0.8	0.0001	4.832e-10	0.1	0.95		13.72		5237.0	0.0					861300.0	0.002		38260000.0		747.516	0.6769	0.02324	
Carcharodon carcharias	c5465928ea46eb759bbbf4d623c56bad		6.5	0.8	0.0001	1.822e-09	0.1	0.95		20.08		5226.0	0.0					11380000.0	0.002		258300000.0		2192.34	0.793	0.11761	
Carcinus maenas	182ab1e14f8181b51f406b97feedd219		6.5	0.8	0.0001	2.62481e-08	0.1	0.95		38.3674		4400.0	0.0			0.341205		0.000701536	0.002		304.61		24.825	0.987791	0.0466903	
Caretta caretta	5667c31e110f65b6f24658fa8d7f650f		6.5	0.8	0.0001	7.448e-11	0.1	0.95		6.439		7788.0	0.0					35990.0	0.002		54970000.0		407.298	0.7386	0.08562	
Cariama cristata	51010aa3e16c9d55c093b195102bac97		6.5	0.8	0.01	3.20856e-15	0.1	0.95		578.302		7313.61	0.0					322.628	0.002		12134.9		4155.19	0.997796	0.0984085	
Carollia perspicillata	b3658b2f62ac063825c67f88f1b3db18		6.5	0.8	0.01	1.4498e-19	0.1	0.95		370.828		7845.24	0.0					4661.74	0.002	60751.7	264443.0		921.814	0.85336	0.178147	89.1483
Castor fiber	3b8681fe6477ed5a3762fcdef4d00eb2		6.5	0.8	0.1	1.683e-13	0.1	0.97		298.895		7838.01	0.0					84550.0	0.002	884700.0	10940000.0		3398.45	0.91302	0.025035	22.2248
Cavia tschudii	f83a21896fe575a2978cfd1222434dca		6.5	0.8	0.1	1.9512e-13	0.1	0.95		126.43		7837.04	0.0					49927.5	0.0019464	158065.0	776844.0		1155.86	0.88164	0.11079	49.1103
Cebus capucinus	0b4728552da36e92bba7b084a347127a		6.5	0.8	0.05	2.466e-23	0.1	0.95		10.83		7800.0	0.0					512000.0	0.002	2289000.0	3833000.0		189.671	0.7223	0.088	124.3
Cepphus grylle	f56cecae9c9629f9bcc610161d9b483e		6.5	0.65849	0.01	1.408e-27	0.1	0.95		433.599		7303.76	0.0					1673.0	0.002		386900.0		2567.59	0.98901	0.30148	
Cerastoderma edule	2af65e2b505c0c8b54696e3d1a6ae6cc		6.5	0.8	0.0001	3.17009e-08	0.1	0.95		18.3331		2353.29	0.0			0.000128498		9.47001e-06	0.002		7.05489		14.1933	0.968896	0.00915163	
Ceratotherium simum	6179a66ee04b226c191579679d6afeed		6.5	0.8	0.1	1.279e-16	0.1	0.95		30.7406		7825.93	0.0					29893700.0	0.002	514922000.0	1597410000.0		3005.11	0.83423	0.18187	423.987
Ceriodaphnia dubia	b7129a03be4a413d639f0bf4ade8d684		6.5	0.8	0.0001	2.722e-05	0.1	0.95		1306.19		4446.61	0.0					0.005286	0.002		0.02386		69.3481	0.45619	0.010149	
Ceriodaphnia pulchella	8c950c5099d7368e2c5d026dc079a5e9		6.5	0.8	0.0001	5.202e-06	0.1	0.95		1049.0		4445.0	0.0					1.193e-08	0.002		3.177e-06		28.633	0.9987	0.02058	
Cervus canadensis	d116839109ff1e816c69b6ab69deb181		6.5	0.81063	0.3	1.025e-25	0.1	0.95		15.0238		7844.73	0.0					18980000.0	0.002	30900000.0	224200000.0		975.48	0.78375	0.1859	4.1483
