Name	CoL ID	p_M (J/d.cm^3)	F_m (l/d.cm^2)	h_a (1/d^2)	p_Am (J/d.cm^2)	k_J (1/d)	kap_X (-)	kap (-)	E_G (J/cm^3)	E_Hb (J)	s_G (-)	v (cm/d)	kap_P (-)	kap_R (-)	E_Hp (J)	p_T (J/d.cm^2)
Falco naumanni	bc99d387d3a7b447bf1d951ef8111cc2	746.507	6.5	3.452e-29	3429.6	0.002	0.8	0.99739	7314.94	153.4	0.01	0.85966	0.1	0.95	20080.0	0.0
Flustra foliacea	fd374d545f72678ced74b5f86d54deba	17.96	6.5	4.697e-07	28.736	0.002	0.8	0.8	1831.0	2.045e-08	0.0001	0.002496	0.1	0.475	0.4716	0.0
Forpus passerinus	9dde78344c3ce809f5af4d35947c6ae0	400.724	6.5	1.791e-35	1055.65	0.002	0.8	0.94338	7319.67	679.4	0.01	0.25905	0.1	0.95	131700.0	0.0
Fratercula arctica	80c12642c3ab7cc036ee3749463ca606	320.436	6.5	2.18e-20	2489.62	0.002	0.8	0.59959	7337.98	80340.0	0.01	0.099087	0.1	0.95	10740000.0	0.0
Fulmarus glacialis	a6e247adc3755e7607c4862ae639f9c3	537.13	6.5	3.298e-139	4050.82	0.002	0.5	0.92873	7259.76	17620.0	0.05	0.35339	0.1	0.95	6990000.0	0.0
Furcifer labordi	2d8fe0c4795645592bb8c62369df1cd0	1000.0	6.5	2.5e-07	1202.02	0.002	0.8	0.8494	7839.0	183.9	0.5	0.02665	0.1	0.95	3023.0	0.0
Gallinula chloropus	8c1a4e2718730f2ad6171f96fb6c6fa3	304.958	6.5	1.051e-47	1817.95	0.002	0.8	0.85783	7317.42	10140.0	0.05	0.20168	0.1	0.95	3012000.0	0.0
Gallus gallus IR	41fa0feaab366e305d7a91b3f433abfa	43.8456	6.5	2.788e-30	1187.65	0.002	0.8	0.52575	7453.29	198100.0	0.05	0.66481	0.1	0.95	28560000.0	0.0
Gallus gallus	41fa0feaab366e305d7a91b3f433abfa	151.686	6.5	7.616e-35	1141.01	0.002	0.8	0.99118	7311.16	1001.0	0.05	0.12776	0.1	0.95	36310.0	0.0
Gallus gallus WL	41fa0feaab366e305d7a91b3f433abfa	178.143	6.5	1.163e-13	2648.63	0.002	0.8	0.41337	7319.71	62540.0	0.05	0.043404	0.1	0.95	11280000.0	0.0
Gasterosteus aculeatus	fd99ac97713444a54871ba5ae6555109	116.1	6.5	3.887e-09	194.719	0.002	0.8	0.9844	5224.0	0.1849	0.0001	0.07262	0.1	0.95	78.79	0.0
Gavialis gangeticus	6bef8e5a76defdae652840a7b3416c9b	19.83	6.5	4.661e-11	925.239	0.002	0.8	0.7407	7847.0	68130.0	0.0001	0.02841	0.1	0.95	62560000.0	0.0
Gavia immer	cfec88d8fcc43e7f03d1575d1c3f55a3	262.801	6.5	7.852e-41	3109.64	0.0016994	0.8	0.98599	7322.58	4140.0	0.05	0.31215	0.1	0.95	3183000.0	0.0
Gavia stellata	82657d3390f0a0d5bc1349a48394f8d0	386.771	6.5	1.995e-45	3292.43	0.001849	0.1382	0.97076	7292.85	6615.0	0.05	0.26374	0.79367	0.95	3329000.0	0.0
Genypterus blacodes	660b829aafcd7d46e774e3638a8d7a29	69.5	6.5	4.668e-08	1522.05	0.002	0.8	0.8	5152.0	0.4094	0.0001	0.1009	0.1	0.95	574500.0	0.0
