Name	CoL ID	p_M (log10 J/d.cm^3)	F_m (log10 l/d.cm^2)	h_a (log10 1/d^2)	p_Am (log10 J/d.cm^2)	k_J (log10 1/d)	kap_X (log10 -)	kap (log10 -)	E_G (log10 J/cm^3)	E_Hb (log10 J)	s_G (log10 -)	v (log10 cm/d)	kap_P (log10 -)	kap_R (log10 -)	E_Hp (log10 J)	p_T (log10 J/d.cm^2)
Notopterus notopterus	4fcb49f6bfd5870b3cfababf5e802016	1.26693691116	0.812913356643	-8.91221858219	2.22524723523	-2.69897000434	-0.0969100130081	-0.00252624119702	3.71600334363	-0.577082019232	-4.0	-1.7166987713	-1.0	-0.0222763947112	3.16256440652	
Numenius phaeopus	19bd674744e8fd0eda79a3b09a47568d	2.26792229153	0.812913356643	-40.6546262694	3.11716187945	-2.69897000434	-0.0969100130081	-0.022454720631	3.86515492571	4.01199311466	-2.0	-0.128736551146	-1.0	-0.0222763947112	6.11693964655	
Octolasion cyaneum	c39d48b8d317b85403b3500a610f0be7	2.98190917009	0.812913356643	-8.51272018356	2.87766039532	-2.69897000434	-0.0969100130081	-0.00802120900542	3.6251065754	-0.134540677338	-4.0	-1.50863830617	-1.0	-0.0222763947112	2.45878888171	
Oikopleura dioica	a0baaf22d884c493e15b87b9e7df0393	3.11394335231	2.69548167649	-9.28709787495	2.42569721336	-3.0	-0.0969100130081	-0.698970004336	3.13798673272	-3.2223557223	0.698970004336	-1.3767507096	-1.0	-0.0222763947112	-3.22228326139	
Oikopleura longicauda	96345fc075fb3f226692bc86808fced3	3.11394335231	2.69548167649	-9.28709787495	2.42569721336	-3.0	-0.0969100130081	-0.698970004336	3.13798673272	-3.2223557223	0.698970004336	-1.3767507096	-1.0	-0.0222763947112	-3.22228326139	
Opisthocomus hoazin	ad3bcef887f4c268792c37f0d373faff	2.5926518888	0.812913356643	-30.8696662315	3.31785866723	-2.70405923773	-0.0969100130081	-0.00150526451931	3.86561499194	2.33445375115	-1.30102999566	-1.10085279278	-1.0	-0.0222763947112	3.4268364538	
Opsanus tau	eabf208a108044b4e9b995e267e3cbed	1.22968184232	0.812913356643	-6.7649768405	2.48874103114	-2.69897000434	-0.0969100130081	-0.304430772964	3.71850168887	2.02325245963	-4.0	-1.46092390121	-1.0	-0.0222763947112	5.7032053707	
Ornithorhynchus anatinus	3bc186304963c8d2e15564c630a7021e	2.34660917174	0.812913356643	-20.8168526304	3.29854088327	-2.66140009337	-0.0969100130081	-0.000604524168428	3.89370518361	0.231217198128	-1.0	-0.916945522281	-1.0	-0.0222763947112	4.99159462642	
Osmerus mordax	a3b21f18440ced89a25d39ddfedd990a	1.43964842956	0.812913356643	-5.84345084867	2.15010835134	-2.69897000434	-0.0969100130081	-0.0217738183255	3.71700440704	-2.00859669742	-4.0	-1.58169870868	-1.0	-0.0222763947112	3.32345836685	
Osteoglossum bicirrhosum	72895daedd532e7e22d3cefc27328304	1.32221929473	0.812913356643	-9.65227978297	2.51776050961	-2.69897000434	-0.0969100130081	-0.0057708591823	3.71600334363	1.01577875639	-4.0	-1.4298074389	-1.0	-0.0222763947112	4.77771673861	
Pangasianodon hypophthalmus	53d4229bacedae1311051e7cddd073d4	1.05076631123	0.812913356643	-9.52374820399	2.71993341154	-2.69897000434	-0.0969100130081	-0.236197775925	3.72288061069	0.101403350555	-4.0	-0.948461609485	-1.0	-0.0222763947112	6.8393523289	
Parus atricapillus	aed95c6ec867d5d04bbab05d19687d73	3.07244107748	0.812913356643	-21.1036391545	3.28849068163	-2.69897000434	-0.301029995664	-0.00202854246912	3.86560611496	1.11159852488	-2.0	-0.926501601283	-1.0	-0.0222763947112	3.26245108973	
Parus major	9a3033c7cf62b8a01f58d9a946e06126	3.00284829704	0.812913356643	-37.6918626214	3.32865884859	-2.69897000434	-0.0969100130081	-0.00388252386271	3.86460243941	1.78568566828	-2.0	-0.475837641864	-1.0	-0.0222763947112	3.88383171333	
Passerculus sandwichensis	a40e57e0efe04426fca93156aee1edf4	2.954643323	0.812913356643	-16.2467234298	3.26482254358	-2.69897000434	-0.0969100130081	-0.00189330191997	3.86452531999	1.37639444204	-2.0	-0.90375061681	-1.0	-0.0222763947112	3.98797891588	
Pelecanus onocrotalus	93042a2bf3d8f48f27fe9b410ac0d62a	2.13994831624	0.812913356643	-31.8007935208	3.43267431919	-3.13511530166	-0.0969100130081	-0.000926033822959	3.86224709622	3.04727486738	-2.0	-0.0635616624144	-1.0	-0.0222763947112	6.33142729652	
Percopsis omiscomaycus	9fb8728f4e0fc8a9cf1ddbfc6fd232d5	1.20736503747	0.812913356643	-5.33012549751	1.91351450975	-2.69897000434	-0.0969100130081	-0.118102026427	3.71875073474	0.586587304672	-4.0	-1.42423501946	-1.0	-0.0222763947112	3.34811006848	
Periparus ater	a1536cbd36af848c4cfb9234fad2e1e0	3.09238023211	0.812913356643	-21.9484616095	3.33809575988	-2.69897000434	-0.0969100130081	-0.0169558680734	3.86438884437	2.20978301485	-2.0	-0.696566333994	-1.0	-0.0222763947112	5.0244856677	
